poem_name	poem
the rape of lucrece	within thought heavenli imag sit self - seat sit collatin eye look confound wit ; eye behold divin unto view fals inclin ; pure appeal seek heart corrupt take worser part ;
the rape of lucrece	therein hearten servil power flatterd leader jocund show stuff lust minut fill hour ; captain pride doth grow pay slavish tribut owe reprob desir thu madli led roman lord marcheth lucrec bed
the rape of lucrece	lock chamber one enforc retir ward ; open rate ill drive creep thief regard threshold grate door heard ; night - wander weasel shriek see ; fright yet still pursu fear
the rape of lucrece	unwil portal yield way littl vent cranni place wind war torch make stay blow smoke face extinguish conduct case ; hot heart fond desir doth scorch puff forth anoth wind fire torch
the rape of lucrece	light light spi lucretia glove wherein needl stick take rush lie gripe needl finger prick ; say glove wanton trick inur ; return hast ; thou seest mistress ornament chast
the rape of lucrece	poor forbid could stay ; worst sens constru denial door wind glove delay take accident thing trial ; bar stop hourli dial linger slay cours doth let till everi minut pay hour debt
the rape of lucrece	quoth let attend time like littl frost sometim threat spring add rejoic prime give sneap bird caus sing pain pay incom preciou thing ; huge rock high wind strong pirat shelv sand merchant fear ere rich home land
the rape of lucrece	come unto chamber - door shut heaven thought yield latch hath barrd bless thing sought impieti hath wrought prey pray doth begin heaven counten sin
the rape of lucrece	midst unfruit prayer solicit th etern power foul thought might compass fair fair would stand auspici hour even start quoth must deflow power pray abhor fact assist act
the rape of lucrece	love fortun god guid backd resolut thought dream till effect tri ; blackest sin cleard absolut ; love fire fear frost hath dissolut eye heaven misti night cover shame follow sweet delight
the rape of lucrece	said guilti hand pluckd latch knee door open wide dove sleep fast night - owl catch thu treason work ere traitor espi see lurk serpent step asid ; sound sleep fear thing lie merci mortal sting
the rape of lucrece	chamber wickedli stalk gazeth yet unstain bed curtain close walk roll greedi eyebal head high treason heart misl ; give watch - word hand full soon draw cloud hide silver moon
the rape of lucrece	look fair fieri - point sun rush forth cloud bereav sight ; even curtain drawn eye begun wink blind greater light whether reflect bright dazzleth els shame suppos ; blind keep enclos
the rape of lucrece	o darksom prison die seen period ill ; collatin lucrec side clear bed might repos still must ope bless leagu kill ; holi - thought lucrec sight must sell joy life world delight
the rape of lucrece	lili hand rosi cheek lie cozen pillow law kiss ; therefor angri seem part sunder swell either side want bliss ; whose hill head entomb like virtuou monument lie admir lewd unhallowd eye
the rape of lucrece	without bed fair hand green coverlet ; whose perfect white showd like april daisi grass pearli sweat resembl dew night eye like marigold sheath light canopi dark sweetli lay till might open adorn day
the rape of lucrece	hair like golden thread playd breath ; o modest wanton wanton modesti show life triumph map death death dim look life mortal sleep beautifi twain strife life live death death life
the rape of lucrece	breast like ivori globe circl blue pair maiden world unconqu save lord bear yoke knew oath truli honour world tarquin new ambit bred ; like foul ursurp went fair throne heav owner
the rape of lucrece	could see mightili note note strongli desir beheld firmli dote wil eye tire admir admir azur vein alabast skin coral lip snow - white dimpl chin
the rape of lucrece	grim lion fawneth oer prey sharp hunger conquest satisfi oer sleep soul doth tarquin stay rage lust gaze qualifi ; slackd suppressd ; stand side eye late mutini restrain unto greater uproar tempt vein
the rape of lucrece	like straggl slave pillag fight obdur vassal fell exploit effect bloodi death ravish delight children tear mother groan respect swell pride onset still expect anon beat heart alarum strike give hot charg bid like
the rape of lucrece	drum heart cheer burn eye eye commend lead hand ; hand proud digniti smoke pride marchd make stand bare breast heart land ; whose rank blue vein hand scale left round turret destitut pale
the rape of lucrece	muster quiet cabinet dear gover ladi lie tell dread beset fright confus cri much amaz break ope lockd - eye peep forth tumult behold flame torch dimmd controlld
the rape of lucrece	imagin one dead night forth dull sleep dread fanci wake think hath beheld ghastli sprite whose grim aspect set everi joint - shake ; terror ti worser take sleep disturb heed doth view sight make suppos terror true
the rape of lucrece	wrappd confound thousand fear like new - killd bird trembl lie ; dare look ; yet wink appear quick - shift antic ugli eye shadow weak brain forgeri ; angri eye fli light dark daunt dread sight
the rape of lucrece	hand yet remain upon breast -- rude ram batter ivori wall -- may feel heart - poor citizen -- distressd wound death rise fall beat bulk hand shake withal move rage lesser piti make breach enter sweet citi
the rape of lucrece	first like trumpet doth tongu begin sound parley heartless foe ; oer white sheet peer whiter chin reason rash alarm know dumb demeanor seek show ; vehement prayer urgeth still colour commit ill
the rape of lucrece	thu repli colour thi face even anger make lili pale red rose blush disgrac shall plead tell love tale colour come scale thi never - conquerd fort fault thine thine eye betray thee unto mine
the rape of lucrece	thu forestal thee thou mean chide thi beauti hath ensnar thee night thou patienc must abid ; mark thee earth delight conquer sought might ; reproof reason beat dead thi bright beauti newli bred
the rape of lucrece	see cross attempt bring ; know thorn grow rose defend ; think honey guard sting ; beforehand counsel comprehend deaf hear heed friend ; hath eye gaze beauti dote look gainst law duti
the rape of lucrece	debat even soul wrong shame sorrow shall breed ; noth affect cours control stop headlong furi speed know repent tear ensu deed reproach disdain deadli enmiti ; yet strive embrac mine infami
the rape of lucrece	said shake aloft roman blade like falcon tower sky coucheth fowl wing shade whose crook beak threat mount die insult falchion lie harmless lucretia mark tell trembl fear fowl hear falcon bell
the rape of lucrece	lucrec quoth hethi night must enjoy thee thou deni forc must work way thi bed purpos destroy thee done worthless slave thine ill slay kill thine honour thi life decay ; thi dead arm mean place swear slew see thee embrac
the rape of lucrece	thi surviv husband shall remain scorn mark everi open eye ; thi kinsmen hang head disdain thi issu blurrd nameless bastardi thou author obloquy shalt thi trespass cite rhyme sung children succeed time
the rape of lucrece	thou yield rest thi secret friend fault unknown thought unact ; littl harm done great good end law polici remain enact poison simpl sometim compact pure compound ; appli venom effect purifi
the rape of lucrece	thi husband thi children sake tender suit bequeath lot shame devic take blemish never forgot ; wors slavish wipe birth - hour blot mark descri men nativ natur fault infami
the rape of lucrece	cockatric dead - kill eye rouseth make paus ; pictur pure pieti like white hind gripe sharp claw plead wilder law rough beast know gentl right aught obey foul appetit
the rape of lucrece	black - face cloud world doth threat dim mist aspir mountain hide earth dark womb gentl gust doth get blow pitchi vapour bid hinder present fall divid ; unhallowd hast word delay moodi pluto wink orpheu play
the rape of lucrece	yet foul night - wake cat doth dalli hold - fast foot weak mous panteth sad behavior feed vultur folli swallow gulf even plenti wanteth ear prayer admit heart granteth penetr entranc plain tear harden lust though marbl wear rain
the rape of lucrece	piti - plead eye sadli fixd remorseless wrinkl face ; modest eloqu sigh mixd oratori add grace put period often place ; midst sentenc accent break twice doth begin ere speak
the rape of lucrece	conjur high almighti jove knighthood gentri sweet friendship oath untim tear husband love holi human law common troth heaven earth power borrowd bed make retir stoop honour foul desir
the rape of lucrece	quoth reward hospit black payment thou hast pretend ; mud fountain gave drink thee ; mar thing cannot amend ; end thi ill aim thi shoot end ; woodman doth bend bow strike poor unseason doe
the rape of lucrece	husband thi friend ; sake spare thyself art mighti ; thine sake leav weakl ; ensnar thou lookst like deceit ; deceiv sigh like whirlwind labour henc heav thee ever man move woman moan move tear sigh groan
the rape of lucrece	togeth like troubl ocean beat thi rocki wreck - threaten heart soften continu motion ; stone dissolv water convert o harder stone thou art melt tear compassion soft piti enter iron gate
the rape of lucrece	tarquin like entertain thee hast thou put shape shame host heaven complain thou wrongst honour woundst princ name thou art thou seemst ; thou seemst thou art god king ; king like god govern everyth
the rape of lucrece	thi shame seed thine age thu thi vice bud thi spring thi hope thou darest outrag darest thou thou art king o rememberd outrag thing vassal actor wipe away ; king misde cannot hid clay
the rape of lucrece	deed make thee love fear ; happi monarch still feard love foul offend thou perforc must bear thee like offenc prove fear thi remov ; princ glass school book subject eye learn read look
the rape of lucrece	wilt thou school lust shall learn must thee read lectur shame wilt thou glass wherein shall discern author sin warrant blame privileg dishonour thi name thou blackst reproach long - live laud makest fair reput bawd
the rape of lucrece	hast thou command gave thee pure heart command thi rebel draw thi sword guard iniqu lent thee brood kill thi princ offic canst thou fulfil patternd thi fault foul sin may say learnd sin thou didst teach way
the rape of lucrece	think vile spectacl view thi present trespass anoth men fault seldom appear ; transgress partial smother guilt would seem death - worthi thi brother o wrappd infami misde askanc eye
the rape of lucrece	thee thee heav - hand appeal seduc lust thi rash relier sue exil majesti repeal ; let return flatter thought retir true respect prison fals desir wipe dim mist thi dote eyn thou shalt see thi state piti mine
the rape of lucrece	done quoth uncontrol tide turn swell higher let small light soon blown huge fire abid wind greater furi fret petti stream pay daili debt salt sovereign fresh fall hast add flow alter tast
the rape of lucrece	thou art quoth sea sovereign king ; lo fall thi boundless flood black lust dishonour shame misgovern seek stain ocean thi blood pretti ill shall chang thi good thi sea within puddl womb hears puddl thi sea dispers
the rape of lucrece	shall slave king thou slave ; thou nobli base base dignifi ; thou fair life thi fouler grave thou loath shame thi pride lesser thing greater hide ; cedar stoop base shrub foot low shrub wither cedar root
the rape of lucrece	let thi thought low vassal thi state -- quoth ; heaven hear thee yield love ; enforc hate instead love coy touch shall rude tear thee ; done despit mean bear thee unto base bed rascal groom thi partner shame doom
the rape of lucrece	said set foot upon light light lust deadli enemi shame fold blind conceal night unseen doth tyrann wolf hath seiz prey poor lamb cri ; till white fleec voic controlld entomb outcri lip sweet fold
the rape of lucrece	nightli linen wear pen piteou clamour head ; cool hot face chastest tear ever modest eye sorrow shed o prone lust stain pure bed spot whereof could weep purifi tear drop perpetu
the rape of lucrece	hath lost dearer thing life hath won would lose forc leagu doth forc strife ; momentari joy breed month pain ; hot desir convert cold disdain pure chastiti rifl store lust thief far poorer
the rape of lucrece	look full - fed hound gorg hawk unapt tender smell speedi flight make slow pursuit altogeth balk prey wherein natur delight ; surfeit - take tarquin fare night tast delici digest sour devour live foul devour
the rape of lucrece	o deeper sin bottomless conceit comprehend still imagin drunken desir must vomit receipt ere see abomin lust pride exclam curb heat rein rash desir till like jade self - doth tire
the rape of lucrece	lank lean discolourd cheek heavi eye knit brow strengthless pace feebl desir recreant poor meek like bankrupt beggar wail case flesh proud desir doth fight grace revel ; decay guilti rebel remiss pray
the rape of lucrece	fare fault lord rome accomplish hotli chase ; sound doom length time stand disgrac besid soul fair templ defac ; whose weak ruin muster troop care ask spot princess fare
the rape of lucrece	say subject foul insurrect batterd consecr wall mortal fault brought subject immort made thrall live death pain perpetu prescienc control still foresight could forestal
the rape of lucrece	even thought dark night stealeth captiv victor hath lost gain ; bear away wound noth healeth scar despit cure remain ; leav spoil perplexd greater pain bear load lust left behind burden guilti mind
the rape of lucrece	like thievish dog creep sadli thenc ; like weari lamb lie pant ; scowl hate offenc ; desper nail flesh doth tear ; faintli fli sneak guilti fear ; stay exclaim dire night ; run chide vanishd loath delight
the rape of lucrece	thenc depart heavi convertit ; remain hopeless castaway ; speed look morn light ; pray never may behold day day quoth night scape doth open lay true eye never practis cloak offenc cun brow
the rape of lucrece	think everi eye see disgrac behold ; therefor would still dark unseen sin remain untold ; guilt weep unfold grave like water doth eat steel upon cheek helpless shame feel
the rape of lucrece	exclaim repos rest bid eye hereaft still blind wake heart beat breast bid leap thenc may find purer chest close pure mind frantic grief thu breath forth spite unseen secreci night
the rape of lucrece	o comfort - kill night imag hell dim regist notari shame black stage tragedi murder fell vast sin - conceal chao nurs blame blind muffl bawd dark harbour defam grim cave death whisper conspir close - tongu treason ravish
the rape of lucrece	o hate vapor foggi night sinc thou art guilti cureless crime muster thi mist meet eastern light make war proportiond cours time ; thou wilt permit sun climb wont height yet ere go bed knit poison cloud golden head
the rape of lucrece	rotten damp ravish morn air ; let exhal unwholesom breath make sick life puriti suprem fair ere arriv weari noon - tide prick ; let thi misti vapour march thick smoki rank smotherd light may set noon make perpetu night
the rape of lucrece	tarquin night night child silver - shine queen would distain ; twinkl handmaid defil night black bosom peep co - partner pain ; fellowship woe doth woe assuag palmer chat make short pilgrimag
the rape of lucrece	one blush cross arm hang head mine mask brow hide infami ; alon alon must sit pine season earth shower silver brine mingl talk tear grief groan poor wast monument last moan
the rape of lucrece	o night thou furnac foul - reek smoke let jealou day behold face underneath thi black - hide cloak immodestli lie martyrd disgrac keep still possess thi gloomi place fault thi reign made may likewis sepulchr thi shade
the rape of lucrece	make object tell - tale day light show characterd brow stori sweet chastiti decay impiou breach holi wedlock vow yea illiter know cipher writ learn book quot loathsom trespass look
the rape of lucrece	nurs still child tell stori fright cri babe tarquin name ; orat deck oratori coupl reproach tarquin shame ; feast - find minstrel tune defam tie hearer attend line tarquin wrong collatin
the rape of lucrece	let good name senseless reput collatin dear love kept unspot made theme disput branch anoth root rot undeserv reproach allot clear attaint mine ere pure collatin
the rape of lucrece	o unseen shame invis disgrac o unfelt sore crest - wound privat scar reproach stampd collatinu face tarquin eye may read mot afar peac wound war ala mani bear shame blow give know
the rape of lucrece	collatin thine honour lay strong assault bereft honour lost drone - like bee perfect summer left robbd ransackd injuri theft thi weak hive wander wasp hath crept suckd honey thi chast bee kept
the rape of lucrece	yet guilti thi honour wrack ; yet thi honour entertain ; come thee could put back dishonour disdain besid weari complain talkd virtu o unlookd - evil virtu profan devil
the rape of lucrece	worm intrud maiden bud hate cuckoo hatch sparrow nest toad infect fair fount venom mud tyrant folli lurk gentl breast king breaker behest perfect absolut impur doth pollut
the rape of lucrece	age man coffer - gold plagu cramp gout pain fit ; scarc hath eye treasur behold like still - pine tantalu sit useless barn harvest wit ; pleasur gain torment cannot cure pain
the rape of lucrece	hath cannot use leav masterd young ; pride present abus father weak strong hold curs - bless fortun long sweet wish turn loath sour even moment call
the rape of lucrece	unruli blast wait tender spring ; unwholesom weed take root preciou flower ; adder hiss sweet bird sing ; virtu breed iniqu devour good say ill - annex opportun kill life els qualiti
the rape of lucrece	o opportun thi guilt great ti thou executest traitor treason thou setst wolf lamb may get ; whoever plot sin thou pointst season ; ti thou spurnst right law reason ; thi shadi cell none may spi sit sin seiz soul wander
the rape of lucrece	thou makest vestal violat oath ; thou blowst fire temper thawd ; thou smotherst honesti thou murderst troth ; thou foul abettor thou notori bawd thou plantest scandal displacest laud thou ravish thou traitor thou fals thief thi honey turn gall thi joy grief
the rape of lucrece	thi secret pleasur turn open shame thi privat feast public fast thi smooth titl rag name thi sugard tongu bitter wormwood tast thi violent vaniti never last come vile opportun bad number seek thee
the rape of lucrece	wilt thou humbl suppliant friend bring suit may obtaind wilt thou sort hour great strife end free soul wretched hath chaind give physic sick eas paind poor lame blind halt creep cri thee ; neer meet opportun
the rape of lucrece	patient die physician sleep ; orphan pine oppressor feed ; justic feast widow weep ; advic sport infect breed thou grantst time charit deed wrath envi treason rape murder rage thi heinou hour wait page
the rape of lucrece	truth virtu thee thousand cross keep thi aid buy thi help ; sin neer give fee grati come ; thou art well appaid well hear grant hath said collatin would els come tarquin stayd thee
the rape of lucrece	guilti thou art murder theft guilti perjuri suborn guilti treason forgeri shift guilti incest abomin ; accessari thine inclin sin past come creation gener doom
the rape of lucrece	mi - shapen time copesm ugli night swift subtl post carrier grisli care eater youth fals slave fals delight base watch woe sin pack - hors virtu snare ; thou nursest murderst o hear injuri shift time guilti death sinc crime
the rape of lucrece	hath thi servant opportun betrayd hour thou gavest repos cancelld fortun enchain endless date never - end woe time offic fine hate foe ; eat error opinion bred spend dowri law bed
the rape of lucrece	time glori calm contend king unmask falsehood bring truth light stamp seal time age thing wake morn sentinel night wrong wronger till render right ruinat proud build thi hour smear dust glitter golden tower ;
the rape of lucrece	fill worm - hole state monument feed oblivion decay thing blot old book alter content pluck quill ancient raven wing dri old oak sap cherish spring spoil antiqu hammerd steel turn giddi round fortun wheel ;
the rape of lucrece	show beldam daughter daughter make child man man child slay tiger doth live slaughter tame unicorn lion wild mock subtl beguil cheer ploughman increas crop wast huge stone littl water drop
the rape of lucrece	workst thou mischief thi pilgrimag unless thou couldst return make amend one poor retir minut age would purchas thee thousand thousand friend lend wit bad debtor lend o dread night wouldst thou one hour come back could prevent storm shun thi wrack
the rape of lucrece	thou ceaseless lackey etern mischanc cross tarquin flight devis extrem beyond extrem make curs curs crime night let ghastli shadow lewd eye affright ; dire thought commit evil shape everi bush hideou shapeless devil
the rape of lucrece	disturb hour rest restless tranc afflict bed bedrid groan ; let bechanc piti mischanc make moan ; piti moan stone hardend heart harder stone ; let mild women lose mild wilder tiger wild
the rape of lucrece	let time tear curl hair let time rave let time time help despair let time live loath slave let time beggar ort crave time see one alm doth live disdain disdain scrap give
the rape of lucrece	let time see friend foe merri fool mock resort ; let time mark slow time goe time sorrow swift short time folli time sport ; ever let unrecal crime time wail th abus time
the rape of lucrece	o time thou tutor good bad teach curs thou taughtst ill shadow let thief run mad seek everi hour kill wretch hand wretch blood spill ; base would offic slander death - man base slave
the rape of lucrece	baser come king shame hope deed degener mightier man mightier thing make honourd beget hate ; greatest scandal wait greatest state moon cloud present missd littl star may hide list
the rape of lucrece	crow may bath coal - black wing mire unperceiv fli filth away ; like snow - white swan desir stain upon silver stay poor groom sightless night king gloriou day gnat unnot whereso fli eagl gaze upon everi eye
the rape of lucrece	idl word servant shallow fool unprofit sound weak arbitr busi skill - contend school ; debat leisur serv dull debat ; trembl client mediat forc argument straw sinc case past help law
the rape of lucrece	vain rail opportun time tarquin uncheer night ; vain cavil mine infami vain spurn confirmd despit helpless smoke word doth right remedi inde good let forth foul - defil blood
the rape of lucrece	poor hand quiverst thou decre honour thyself rid shame die honour live thee ; live thou livest defam sinc thou couldst defend thi loyal dame wast afeard scratch wick foe kill thyself yield
the rape of lucrece	said - tumbl couch starteth find desper instrument death slaughterhous tool imparteth make vent passag breath ; throng lip vanisheth smoke aetna air consum discharg cannon fume
the rape of lucrece	vain quoth live seek vain happi mean end hapless life feard tarquin falchion slain yet self - purpos seek knife feard loyal wife o cannot ; true type hath tarquin rifl
the rape of lucrece	o gone sought live therefor need fear die clear spot death least give badg fame slander liveri ; die life live infami poor helpless help treasur stoln away burn guiltless casket lay
the rape of lucrece	well well dear collatin thou shalt know stain tast violat troth ; wrong thi true affect flatter thee infring oath ; bastard graff shall never come growth shall boast thi stock pollut thou art dote father fruit
the rape of lucrece	shall smile thee secret thought laugh companion thi state thou shalt know thi interest bought base gold stoln forth thi gate mistress fate trespass never dispens till life death acquit forc offenc
the rape of lucrece	poison thee attaint fold fault cleanli - coind excus ; sabl ground sin paint hide truth fals night abus tongu shall utter ; mine eye like sluic mountain - spring feed dale shall gush pure stream purg impur tale
the rape of lucrece	lament philomel end well - tune warbl nightli sorrow solemn night slow sad gait descend ugli hell ; lo blush morrow lend light fair eye light borrow cloudi lucrec shame see therefor still night would cloisterd
the rape of lucrece	reveal day everi cranni spi seem point sit weep ; sob speak o eye eye pryst thou window leav thi peep mock thi tickl beam eye sleep brand forehead thi pierc light day hath nought what done night
the rape of lucrece	thu cavil everi thing see true grief fond testi child wayward mood nought agre old woe infant sorrow bear mild ; continu tame one ; wild like unpractis swimmer plung still much labour drown want skill
the rape of lucrece	deep - drench sea care hold disput thing view sorrow doth compar ; object passion strength renew ; one shift anoth straight ensu sometim grief dumb hath word ; sometim ti mad much talk afford
the rape of lucrece	littl bird tune morn joy make moan mad sweet melodi mirth doth search bottom annoy ; sad soul slain merri compani ; grief best pleas grief societi true sorrow feelingli suffic like semblanc sympath
the rape of lucrece	ti doubl death drown ken shore ; ten time pine pine behold food ; see salv doth make wound ach ; great grief griev would good ; deep woe roll forward like gentl flood stoppd bound bank oerflow ; grief dalli law limit know
the rape of lucrece	mock - bird quoth tune entomb within hollow - swell featherd breast hear mute dumb restless discord love stop rest ; woeful hostess brook merri guest relish nimbl note pleas ear ; distress like dump time kept tear
the rape of lucrece	come philomel singst ravish make thi sad grove dishevelld hair dank earth weep thi languish sad strain strain tear deep groan diapason bear ; burden - wise ill hum tarquin still thou tereu descantst better skill
the rape of lucrece	while thorn thou bearst thi part keep thi sharp woe wake wretch imit thee well heart fix sharp knife affright mine eye ; wink shall thereon fall die mean fret upon instrument shall tune heart - string true languish
the rape of lucrece	poor bird thou singst day shame eye thee behold dark deep desert seat way know parch heat freez cold find ; unfold creatur stern sad tune chang kind sinc men prove beast let beast bear gentl mind
the rape of lucrece	poor fright deer stand gaze wildli determin way fli one encompassd wind maze cannot tread way readili ; mutini live die twain better life shame death reproach debtor
the rape of lucrece	kill quoth alack bodi poor soul pollut lose half greater patienc bear whose whole swallowd confus mother tri merciless conclus two sweet babe death take one slay nurs none
the rape of lucrece	bodi soul dearer one pure made divin whose love either nearer kept heaven collatin ay bark peeld lofti pine leav wither sap decay ; must soul bark peeld away
the rape of lucrece	hous sackd quiet interrupt mansion batterd enemi ; sacr templ spot spoild corrupt grossli engirt dare infami let calld impieti blemishd fort make hole may convey troubl soul
the rape of lucrece	yet die till collatin heard caus untim death ; may vow sad hour mine reveng made stop breath stain blood tarquin ill bequeath taint shall spent due writ testament
the rape of lucrece	honour ill bequeath unto knife wound bodi dishonour ti honour depriv dishonourd life ; one live dead shame ash shall fame bred ; death murder shame scorn shame dead mine honour new - born
the rape of lucrece	dear lord dear jewel lost legaci shall bequeath thee resolut love shall thi boast whose exampl thou reveng mayest tarquin must use read thi friend kill thi foe sake serv thou fals tarquin
the rape of lucrece	brief abridg make soul bodi sky ground ; resolut husband thou take ; mine honour knife make wound ; shame fame confound ; fame live disburs live think shame
the rape of lucrece	thou collatin shalt overse ; overseen thou shalt see blood shall wash slander mine ill ; life foul deed life fair end shall free faint faint heart stoutli say yield hand ; hand shall conquer thee thou dead die shall victor
the rape of lucrece	plot death sadli laid wipe brinish pearl bright eye untun tongu hoars call maid whose swift obedi mistress hie ; fleet - wingd duti thought feather fli poor lucrec cheek unto maid seem winter mead sun doth melt snow
the rape of lucrece	mistress doth give demur good - morrow soft - slow tongu true mark modesti sort sad look ladi sorrow face wore sorrow liveri ; durst ask audaci two sun cloud - eclips fair cheek - washd woe
the rape of lucrece	earth doth weep sun set flower moistend like melt eye ; even maid swell drop gan wet circl eyn enforc sympathi fair sun set mistress sky salt - wave ocean quench light make maid weep like dewi night
the rape of lucrece	pretti pretti creatur stand like ivori conduit coral cistern fill one justli weep ; take hand caus compani drop spill gentl sex weep often will ; griev guess other smart drown eye break heart
the rape of lucrece	men marbl women waxen mind therefor formd marbl ; weak oppressd impress strang kind formd forc fraud skill call author ill wax shall account evil wherein stampd semblanc devil
the rape of lucrece	smooth like goodli champaign plain lay open littl worm creep ; men rough - grown grove remain cave - keep evil obscur sleep crystal wall littl mote peep though men cover crime bold stern look poor women face fault book
the rape of lucrece	man inveigh witherd flower chide rough winter flower hath killd devourd doth devour worthi blame o let hild poor women fault fulfilld men abus proud lord blame make weak - made women tenant shame
the rape of lucrece	preced whereof lucrec view assaild night circumst strong present death shame might ensu death husband wrong danger resist belong die fear bodi spread ; cannot abus bodi dead
the rape of lucrece	mild patienc bid fair lucrec speak poor counterfeit complain girl quoth occas break tear thee thi cheek rain thou dost weep grief sustain know gentl wench small avail mood tear could help mine would good
the rape of lucrece	tell girl went -- stayd till deep groan -- tarquin henc madam ere repli maid blame sluggard neglig yet fault thu far dispens ; stir ere break day ere rose tarquin gone away
the rape of lucrece	ladi maid may bold would request know heavi o peac quoth lucrec told repetit cannot make less ; well express deep tortur may calld hell felt one hath power tell
the rape of lucrece	go get hither paper ink pen yet save labour say one husband men bid thou readi bear letter lord love dear ; bid speed prepar carri ; caus crave hast soon writ
the rape of lucrece	maid gone prepar write first hover oer paper quill conceit grief eager combat fight ; wit set blot straight ; curiou - good blunt ill much like press peopl door throng invent shall go
the rape of lucrece	last thu begin thou worthi lord unworthi wife greeteth thee health thi person next vouchsaf afford -- ever love thi lucrec thou wilt see -- present speed come visit commend hous grief woe tediou though word brief
the rape of lucrece	fold tenor woe certain sorrow writ uncertainli short schedul collatin may know grief grief true qualiti dare thereof make discoveri lest hold gross abus ere blood staind staind excus
the rape of lucrece	besid life feel passion hoard spend hear sigh groan tear may grace fashion disgrac better clear suspicion world might bear shun blot would blot letter word till action might becom better
the rape of lucrece	see sad sight move hear told ; eye interpret ear heavi motion doth behold everi part part woe doth bear ti part sorrow hear deep sound make lesser nois shallow ford sorrow ebb blown wind word
the rape of lucrece	letter seald writ ardea lord hast post attend deliv charg sour - face groom hie fast lag fowl northern blast speed speed dull slow deem extrem still urgeth extrem
the rape of lucrece	home villain courtsi low ; blush steadfast eye receiv scroll without yea forth bash innoc doth hie whose guilt within bosom lie imagin everi eye behold blame ; lucrec thought blushd see shame
the rape of lucrece	silli groom god wot defect spirit life bold audac harmless creatur true respect talk deed other saucili promis speed leisur even pattern worn - age pawnd honest look laid word gage
the rape of lucrece	kindl duti kindl mistrust two red fire face blaze ; thought blushd know tarquin lust blush wistli gaze ; earnest eye make amaz saw blood cheek replenish thought spi blemish
the rape of lucrece	long think till return yet duteou vassal scarc gone weari time cannot entertain ti stale sigh weep groan woe hath weari woe moan tire moan plaint littl doth stay paus mean mourn newer way
the rape of lucrece	last call mind hang piec skil paint made priam troy drawn power greec helen rape citi destroy threaten cloud - kiss ilion annoy ; conceit painter drew proud heaven seemd kiss turret bowd
the rape of lucrece	thousand lament object scorn natur art gave lifeless life mani dri drop seemd weep tear shed slaughterd husband wife red blood reekd show painter strife ; die eye gleamd forth ashi light like die coal burnt tediou night
the rape of lucrece	might see labour pioner begrim sweat smear dust ; tower troy would appear eye men loop - hole thrust gaze upon greek littl lust sweet observ work one might see far - eye look sad
the rape of lucrece	great command grace majesti might behold triumph face ; youth quick bear dexter ; pale coward march trembl pace ; heartless peasant well resembl one would swear saw quak trembl
the rape of lucrece	ajax ulyss o art physiognomi might one behold face either cipherd either heart ; face manner expressli told ajax eye blunt rage rigor rolld ; mild glanc sli ulyss lent showd deep regard smile govern
the rape of lucrece	plead might see grave nestor stand twere encourag greek fight ; make sober action hand beguil attent charmd sight speech seemd beard silver white waggd lip fli thin wind breath purld sky
the rape of lucrece	press gape face seemd swallow sound advic ; jointli listen sever grace mermaid ear entic high low painter nice ; scalp mani almost hid behind jump higher seemd mock mind
the rape of lucrece	one man hand leand anoth head nose shadowd neighbour ear ; one throngd bear back bolln red ; anoth smotherd seem pelt swear ; rage sign rage bear loss nestor golden word seemd would debat angri sword
the rape of lucrece	much imaginari work ; conceit deceit compact kind achil imag stood spear gripe arm hand ; behind left unseen save eye mind hand foot face leg head stood whole imagin
the rape of lucrece	wall strong - besieg troy brave hope bold hector marchd field stood mani trojan mother share joy see youth son bright weapon wield ; hope odd action yield light joy seem appear like bright thing staind kind heavi fear
the rape of lucrece	strand dardan fought simoi reedi bank red blood ran whose wave imit battl sought swell ridg ; rank began break upon gall shore retir till meet greater rank join shoot foam simoi bank
the rape of lucrece	well - paint piec lucrec come find face distress stelld mani see care carv none distress dolour dwelld till despair hecuba beheld stare priam wound old eye bleed pyrrhu proud foot lie
the rape of lucrece	painter anatom time ruin beauti wreck grim care reign cheek chap wrinkl disguis ; semblanc remain blue blood chang black everi vein want spring shrunk pipe fed showd life imprisond bodi dead
the rape of lucrece	sad shadow lucrec spend eye shape sorrow beldam woe noth want answer cri bitter word ban cruel foe painter god lend ; therefor lucrec swear wrong give much grief tongu
the rape of lucrece	poor instrument quoth shewithout sound ill tune thi woe lament tongu ; drop sweet balm priam paint wound rail pyrrhu hath done wrong ; tear quench troy burn long ; knife scratch angri eye greek thine enemi
the rape of lucrece	show strumpet began stir nail beauti may tear thi heat lust fond pari incur load wrath burn troy doth bear thi eye kindl fire burneth ; troy trespass thine eye sire son dame daughter die
the rape of lucrece	privat pleasur one becom public plagu mani moe let sin alon commit light alon upon head hath transgress ; let guiltless soul freed guilti woe one offenc mani fall plagu privat sin gener
the rape of lucrece	lo weep hecuba priam die manli hector faint troilu swound friend friend bloodi channel lie friend friend give unadvis wound one man lust mani live confound dote priam chequ son desir troy bright fame fire
the rape of lucrece	feelingli weep troy paint woe sorrow like heavi - hang bell set ring weight goe ; littl strength ring dole knell lucrec set - work sad tale doth tell pencilld pensiv colourd sorrow ; lend word look doth borrow
the rape of lucrece	throw eye paint round find forlorn doth lament last see wretch imag bound piteou look phrygian shepherd lent face though full care yet showd content ; onward troy blunt swain goe mild patienc seemd scorn woe
